U;() the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y.
Uakari;(n.) Same as Ouakari.
Urocerata;(n. pl.) A division of boring Hymenoptera, including Tremex and allied genera. See Illust. of Horntail.
Urochord;(n.) The central axis or cord in the tail of larval ascidians and of certain adult tunicates.
Urochorda;(n. pl.) Same as Tunicata.
Urochordal;(a.) Of or pertaining to the Urochorda.
Urochrome;(n.) A yellow urinary pigment, considered by Thudichum as the only pigment present in normal urine. It is regarded by Maly as identical with urobilin.
Urochs;(n.) See Aurochs.
Urocord;(n.) See Urochord.
Urocyst;(n.) The urinary bladder.
Urodela;(n. pl.) An order of amphibians having the tail well developed and often long. It comprises the salamanders, tritons, and allied animals.
Urodele;(n.) One of the Urodela.
Urodelian;(a.) Of or pertaining to the Urodela.
Urodelian;(n.) One of the Urodela.
Uroerythrin;(n.) A reddish urinary pigment, considered as the substance which gives to the urine of rheumatism its characteristic color. It also causes the red color often seen in deposits of urates.
Urogastric;(a.) Behind the stomach
Urogenital;(a.) Same as Urinogenital.
Uroglaucin;(n.) A body identical with indigo blue, occasionally found in the urine in degeneration of the kidneys. It is readily formed by oxidation or decomposition of indican.
Urohaematin;(n.) Urinary haematin; -- applied to the normal coloring matter of the urine, on the supposition that it is formed either directly or indirectly (through bilirubin) from the haematin of the blood. See Urochrome, and Urobilin.
Urohyal;(a.) Of or pertaining to one or more median and posterior elements in the hyoidean arch of fishes.
Urohyal;(n.) A urohyal bone or cartilage.
Urology;(n.) See Uronology.
Uromere;(n.) Any one of the abdominal segments of an arthropod.
Uronology;(n.) That part of medicine which treats of urine.
Uropod;(n.) Any one of the abdominal appendages of a crustacean, especially one of the posterior ones, which are often larger than the rest, and different in structure, and are used chiefly in locomotion. See Illust. of Crustacea, and Stomapoda.
Uropodal;(a.) Of or pertaining to a uropod.
Uropoetic;(a.) Producing, or favoring the production of, urine.
Uropoetic;(a.) Of, pertaining to, or designating, a system of organs which eliminate nitrogenous waste matter from the blood of certain invertebrates.
Uropygial;(a.) Of or pertaining to the uropygium, or prominence at the base of the tail feathers, in birds.
Uropygium;(n.) The prominence at the posterior extremity of a bird's body, which supports the feathers of the tail; the rump; -- sometimes called pope's nose.
Urosacral;(a.) Of or pertaining to both the caudal and sacral parts of the vertebral column; as, the urosacral vertebrae of birds.
Uroscopy;(n.) The diagnosis of diseases by inspection of urine.
Urosome;(n.) The abdomen, or post-abdomen, of arthropods.
Urostege;(n.) One of the plates on the under side of the tail of a serpent.
Urostea;(pl. ) of Urosteon
Urosteons;(pl. ) of Urosteon
Urosteon;(n.) A median ossification back of the lophosteon in the sternum of some birds.
Urosternite;(n.) The sternal, or under piece, of any one of the uromeres of insects and other arthropods.
Urostyle;(n.) A styliform process forming the posterior extremity of the vertebral column in some fishes and amphibians.
Urox;(n.) The aurochs.
Uroxanate;(n.) A salt of uroxanic acid.
Uroxanic;(a.) Pertaining to, or designating, an acid, C5H8N4O6, which is obtained, as a white crystalline substance, by the slow oxidation of uric acid in alkaline solution.
Uroxanthin;(n.) Same as Indican.
Urrhodin;(n.) Indigo red, a product of the decomposition, or oxidation, of indican. It is sometimes found in the sediment of pathological urines. It is soluble in ether or alcohol, giving the solution a beautiful red color. Also called indigrubin.
Urry;(n.) A sort of blue or black clay lying near a vein of coal.
Ursa;(n.) Either one of the Bears. See the Phrases below.
Ursal;(n.) The ursine seal. See the Note under 1st Seal.
Ursiform;(a.) Having the shape of a bear.
Ursine;(a.) Of or pertaining to a bear
Urson;(n.) The Canada porcupine. See Porcupine.
Ursuk;(n.) The bearded seal.
Ursula;(n.) A beautiful North American butterfly (Basilarchia, / Limenitis, astyanax). Its wings are nearly black with red and blue spots and blotches. Called also red-spotted purple.
Ursuline;(n.) One of an order of nuns founded by St. Angela Merici, at Brescia, in Italy, about the year 1537, and so called from St. Ursula, under whose protection it was placed. The order was introduced into Canada as early as 1639, and into the United States in 1727. The members are devoted entirely to education.
Ursuline;(a.) Of or pertaining to St. Ursula, or the order of Ursulines; as, the Ursuline nuns.
Ursus;(n.) A genus of Carnivora including the common bears.
Urtica;(n.) A genus of plants including the common nettles. See Nettle, n.
Urticaceous;(a.) Of or pertaining to a natural order (Urticaceae) of plants, of which the nettle is the type. The order includes also the hop, the elm, the mulberry, the fig, and many other plants.
Urtical;(a.) Resembling nettles
Urticaria;(n.) The nettle rash, a disease characterized by a transient eruption of red pimples and of wheals, accompanied with a burning or stinging sensation and with itching; uredo.
Urticated;(imp. & p. p.) of Urticate
Urticating;(p. pr. & vb. n.) of Urticate
Urticate;(v. t. & i.) To sting with, or as with, nettles; to irritate; to annoy.
Urtication;(n.) The act or process of whipping or stinging with nettles
Urubu;(n.) The black vulture (Catharista atrata). It ranges from the Southern United States to South America. See Vulture.
Urus;(n.) A very large, powerful, and savage extinct bovine animal (Bos urus / primigenius) anciently abundant in Europe. It appears to have still existed in the time of Julius Caesar. It had very large horns, and was hardly capable of domestication. Called also, ur, ure, and tur.
Urva;(n.) The crab-eating ichneumon (Herpestes urva), native of India. The fur is black, annulated with white at the tip of each hair, and a white streak extends from the mouth to the shoulder.
Us;(pron.) The persons speaking, regarded as an object; ourselves; -- the objective case of we. See We.
Usable;(a.) Capable of being used.
Usage;(n.) The act of using; mode of using or treating; treatment; conduct with respect to a person or a thing; as, good usage; ill usage; hard usage.
Usage;(n.) Manners
Usage;(n.) Long-continued practice
Usage;(n.) Customary use or employment, as of a word or phrase in a particular sense or signification.
Usage;(n.) Experience.
Usager;(n.) One who has the use of anything in trust for another.
Usance;(v. t.) Use
Usance;(v. t.) Custom
Usance;(v. t.) Interest paid for money
Usance;(v. t.) The time, fixed variously by the usage between different countries, when a bill of exchange is payable; as, a bill drawn on London at one usance, or at double usance.
Usant;(a.) Using
Usbegs;(n. pl.) Alt. of Usbeks
Usbeks;(n. pl.) A Turkish tribe which about the close of the 15th century conquered, and settled in, that part of Asia now called Turkestan.
Use;(v. t.) The act of employing anything, or of applying it to one's service; the state of being so employed or applied; application; employment; conversion to some purpose; as, the use of a pen in writing; his machines are in general use.
Use;(v. t.) Occasion or need to employ; necessity; as, to have no further use for a book.
Use;(v. t.) Yielding of service
Use;(v. t.) Continued or repeated practice
Use;(v. t.) Common occurrence
Use;(v. t.) The special form of ritual adopted for use in any diocese; as, the Sarum, or Canterbury, use; the Hereford use; the York use; the Roman use; etc.
Use;(v. t.) The premium paid for the possession and employment of borrowed money
Use;(v. t.) The benefit or profit of lands and tenements. Use imports a trust and confidence reposed in a man for the holding of lands. He to whose use or benefit the trust is intended shall enjoy the profits. An estate is granted and limited to A for the use of B.
Use;(v. t.) A stab of iron welded to the side of a forging, as a shaft, near the end, and afterward drawn down, by hammering, so as to lengthen the forging.
Used;(imp. & p. p.) of Use
Using;(p. pr. & vb. n.) of Use
Use;(v. t.) To make use of; to convert to one's service; to avail one's self of; to employ; to put a purpose; as, to use a plow; to use a chair; to use time; to use flour for food; to use water for irrigation.
Use;(v. t.) To behave toward; to act with regard to; to treat; as, to use a beast cruelly.
Use;(v. t.) To practice customarily; to make a practice of; as, to use diligence in business.
Use;(v. t.) To accustom; to habituate; to render familiar by practice; to inure; -- employed chiefly in the passive participle; as, men used to cold and hunger; soldiers used to hardships and danger.
Use;(v. i.) To be wont or accustomed; to be in the habit or practice; as, he used to ride daily; -- now disused in the present tense, perhaps because of the similarity in sound, between use to, and used to.
Use;(v. i.) To be accustomed to go
Useful;(a.) Full of use, advantage, or profit; producing, or having power to produce, good; serviceable for any end or object; helpful toward advancing any purpose; beneficial; profitable; advantageous; as, vessels and instruments useful in a family; books useful for improvement; useful knowledge; useful arts.
Usefully;(adv.) In a useful manner.
Usefulness;(n.) The quality or state of being useful
Useless;(a.) Having, or being of, no use; unserviceable; producing no good end; answering no valuable purpose; not advancing the end proposed; unprofitable; ineffectual; as, a useless garment; useless pity.
User;(n.) One who uses.
User;(n.) Enjoyment of property
Usher;(n.) An officer or servant who has the care of the door of a court, hall, chamber, or the like; hence, an officer whose business it is to introduce strangers, or to walk before a person of rank. Also, one who escorts persons to seats in a church, theater, etc.
Usher;(n.) An under teacher, or assistant master, in a school.
Ushered;(imp. & p. p.) of Usher
Ushering;(p. pr. & vb. n.) of Usher
Usher;(v. t.) To introduce or escort, as an usher, forerunner, or harbinger; to forerun; -- sometimes followed by in or forth; as, to usher in a stranger; to usher forth the guests; to usher a visitor into the room.
Usherance;(n.) The act of ushering, or the state of being ushered in.
Usherdom;(n.) The office or position of an usher; ushership; also, ushers, collectively.
Usherless;(a.) Destitute of an usher.
Ushership;(n.) The office of an usher
Usitative;(a.) Denoting usual or customary action.
Usnea;(n.) A genus of lichens, most of the species of which have long, gray, pendulous, and finely branched fronds. Usnea barbata is the common bearded lichen which grows on branches of trees in northern forests.
Usnic;(a.) Pertaining to, or designating, a complex acid obtained, as a yellow crystalline substance, from certain genera of lichens (Usnea, Parmelia, etc.).
Usquebaugh;(a.) A compound distilled spirit made in Ireland and Scotland
Usquebaugh;(a.) A liquor compounded of brandy, or other strong spirit, raisins, cinnamon and other spices.
Usself;(n. pl.) Ourselves.
Ustion;(n.) The act of burning, or the state of being burned.
Ustorious;(a.) Having the quality of burning.
Ustulate;(a.) Blackened as if burned.
Ustulation;(n.) The act of burning or searing.
Ustulation;(n.) The operation of expelling one substance from another by heat, as sulphur or arsenic from ores, in a muffle.
Ustulation;(n.) The roasting or drying of moist substances so as prepare them for pulverizing.
Ustulation;(n.) The burning of wine.
Ustulation;(n.) Lascivious passion
Usual;(n.) Such as is in common use; such as occurs in ordinary practice, or in the ordinary course of events; customary; ordinary; habitual; common.
Usucaption;(n.) The acquisition of the title or right to property by the uninterrupted possession of it for a certain term prescribed by law
Usufruct;(n.) The right of using and enjoying the profits of an estate or other thing belonging to another, without impairing the substance.
Usufructuary;(n.) A person who has the use of property and reaps the profits of it.
Usufructuary;(a.) Of or pertaining to a usufruct
Usurarious;(a.) Alt. of Usurary
Usurary;(a.) Usurious.
Usured;(imp. & p. p.) of Usure
Usuring;(p. pr. & vb. n.) of Usure
Usure;(v. i.) To practice usury
Usure;(n.) Usury.
Usurer;(n.) One who lends money and takes interest for it
Usurer;(n.) One who lends money at a rate of interest beyond that established by law
Usurious;(a.) Practicing usury; taking illegal or exorbitant interest for the use of money; as, a usurious person.
Usurious;(a.) Partaking of usury; containing or involving usury; as, a usurious contract.
Usurped;(imp. & p. p.) of Usurp
Usurping;(p. pr. & vb. n.) of Usurp
Usurp;(v. t.) To seize, and hold in possession, by force, or without right; as, to usurp a throne; to usurp the prerogatives of the crown; to usurp power; to usurp the right of a patron is to oust or dispossess him.
Usurp;(v. i.) To commit forcible seizure of place, power, functions, or the like, without right; to commit unjust encroachments; to be, or act as, a usurper.
Usurpant;(a.) Usurping
Usurpation;(n.) The act of usurping, or of seizing and enjoying; an authorized, arbitrary assumption and exercise of power, especially an infringing on the rights of others; specifically, the illegal seizure of sovereign power; -- commonly used with of, also used with on or upon; as, the usurpation of a throne; the usurpation of the supreme power.
Usurpation;(n.) Use
Usurpatory;(a.) Marked by usurpation
Usurpature;(n.) Usurpation.
Usurper;(n.) One who usurps; especially, one who seizes illegally on sovereign power; as, the usurper of a throne, of power, or of the rights of a patron.
